epoch, time     , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0    , lr/pg1    , lr/pg2
   90, 1486.22  ,        0.67047,        0.51938,        1.10536,              0.8026 ,           0.77266,          0.85438,             0.63463,      0.93927,      0.73598,      1.40636, 0.001189  , 0.001189  , 0.001189
   91, 1504.22  ,        0.66471,        0.51131,        1.09735,              0.78198,           0.7341 ,          0.8182 ,             0.61637,      0.95479,      0.83636,      1.4232 , 0.00109   , 0.00109   , 0.00109
   92, 1522.37  ,        0.66687,        0.51576,        1.10049,              0.76137,           0.80565,          0.82987,             0.62619,      0.93339,      0.81509,      1.4143 , 0.000991  , 0.000991  , 0.000991
   93, 1540.27  ,        0.69027,        0.54011,        1.10629,              0.75629,           0.78263,          0.84159,             0.62565,      0.95417,      0.76291,      1.42756, 0.000892  , 0.000892  , 0.000892
   94, 1557.42  ,        0.6662 ,        0.52828,        1.08923,              0.75255,           0.82793,          0.85228,             0.6287 ,      0.96677,      0.76641,      1.45389, 0.000793  , 0.000793  , 0.000793
   95, 1574.82  ,        0.66673,        0.50718,        1.09241,              0.76207,           0.76104,          0.84604,             0.63536,      0.96069,      0.76478,      1.43368, 0.000694  , 0.000694  , 0.000694
   96, 1592.3   ,        0.65526,        0.5098 ,        1.07949,              0.75577,           0.82163,          0.84825,             0.63777,      0.9681 ,      0.76139,      1.46245, 0.000595  , 0.000595  , 0.000595
   97, 1610.54  ,        0.62617,        0.49273,        1.07659,              0.77668,           0.80482,          0.85627,             0.6459 ,      0.92938,      0.73478,      1.39428, 0.000496  , 0.000496  , 0.000496
   98, 1627.87  ,        0.62537,        0.48532,        1.07541,              0.81092,           0.756  ,          0.86174,             0.64504,      0.95669,      0.75367,      1.45161, 0.000397  , 0.000397  , 0.000397
   99, 1645.29  ,        0.65056,        0.49327,        1.08946,              0.79861,           0.75818,          0.85934,             0.64644,      0.95772,      0.74921,      1.45875, 0.000298  , 0.000298  , 0.000298
  100, 1664.3   ,        0.63659,        0.49026,        1.06905,              0.8052 ,           0.75687,          0.84803,             0.63746,      0.94756,      0.76694,      1.44659, 0.000199  , 0.000199  , 0.000199
